"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","查看学习","获取课程详情","0","0","1","0","0"
"","提交成功","提交成功","0","0","3","0","0"
"","查看学习","获取课程列表","0","0","1","0","0"
"","查看学习","获取章节","0","0","1","0","0"
"","查看学习","查看学习动态成功","0","0","1","0","0"
"","查看学习","获取小节详情","0","0","1","0","0"
"","登录成功","登录失败","0","0","2","0","0"
"","登录成功","登录成功","0","0","2","0","0"
"","运行成功","运行成功","0","0","1","0","0"
"","查看学习","获取大纲","0","0","1","0","0"
"","时间响应成功","时间响应成功","0","0","1","0","0"
"","查看学习","获取最近学习小节","0","0","1","0","0"
"","查看学习","获取课程角色","0","0","1","0","0"
"","查看学习","获取菜单","0","0","1","0","0"
